title,description,error_code,bug_category,bug_domain,tech_stack,severity,environment,developer_role,root_cause,suggested_fix,explanation,created_at
api bug detected in system,this issue relates to a api bug occurring in the application.,503.0,api bug,mobile,mysql,critical,staging,qa engineer,misconfiguration or logic issue related to api bug,review and fix the api bug according to best practices,this bug requires a qa engineer due to its nature.,2025-07-14
concurrency bug detected in system,this issue relates to a concurrency bug occurring in the application.,404.0,concurrency bug,devops,azure,low,development,mobile developer,misconfiguration or logic issue related to concurrency bug,review and fix the concurrency bug according to best practices,this bug requires a mobile developer due to its nature.,2025-12-01
deployment bug detected in system,this issue relates to a deployment bug occurring in the application.,503.0,deployment bug,mobile,aws,critical,staging,qa engineer,misconfiguration or logic issue related to deployment bug,review and fix the deployment bug according to best practices,this bug requires a qa engineer due to its nature.,2025-11-23
cloud configuration bug detected in system,this issue relates to a cloud configuration bug occurring in the application.,502.0,cloud configuration bug,backend systems,angular,low,production,security engineer,misconfiguration or logic issue related to cloud configuration bug,review and fix the cloud configuration bug according to best practices,this bug requires a security engineer due to its nature.,2025-03-04
concurrency bug detected in system,this issue relates to a concurrency bug occurring in the application.,404.0,concurrency bug,mobile,node.js,low,development,cloud engineer,misconfiguration or logic issue related to concurrency bug,review and fix the concurrency bug according to best practices,this bug requires a cloud engineer due to its nature.,2025-08-31
security vulnerability detected in system,this issue relates to a security vulnerability occurring in the application.,401.0,security vulnerability,backend systems,postgresql,high,staging,backend developer,misconfiguration or logic issue related to security vulnerability,review and fix the security vulnerability according to best practices,this bug requires a backend developer due to its nature.,2025-02-27
authorization bug detected in system,this issue relates to a authorization bug occurring in the application.,400.0,authorization bug,cloud,vue,medium,development,backend developer,misconfiguration or logic issue related to authorization bug,review and fix the authorization bug according to best practices,this bug requires a backend developer due to its nature.,2025-10-31
logging bug detected in system,this issue relates to a logging bug occurring in the application.,502.0,logging bug,devops,azure,low,staging,devops engineer,misconfiguration or logic issue related to logging bug,review and fix the logging bug according to best practices,this bug requires a devops engineer due to its nature.,2025-03-12
backend logic bug detected in system,this issue relates to a backend logic bug occurring in the application.,400.0,backend logic bug,devops,gcp,critical,production,data engineer,misconfiguration or logic issue related to backend logic bug,review and fix the backend logic bug according to best practices,this bug requires a data engineer due to its nature.,2025-05-14
backend logic bug detected in system,this issue relates to a backend logic bug occurring in the application.,503.0,backend logic bug,mobile,flask,low,production,frontend developer,misconfiguration or logic issue related to backend logic bug,review and fix the backend logic bug according to best practices,this bug requires a frontend developer due to its nature.,2025-02-20
memory leak detected in system,this issue relates to a memory leak occurring in the application.,401.0,memory leak,backend systems,vue,critical,staging,cloud engineer,misconfiguration or logic issue related to memory leak,review and fix the memory leak according to best practices,this bug requires a cloud engineer due to its nature.,2025-02-27
backend logic bug detected in system,this issue relates to a backend logic bug occurring in the application.,401.0,backend logic bug,data,react,high,staging,backend developer,misconfiguration or logic issue related to backend logic bug,review and fix the backend logic bug according to best practices,this bug requires a backend developer due to its nature.,2025-11-25
database bug detected in system,this issue relates to a database bug occurring in the application.,502.0,database bug,backend systems,azure,high,staging,frontend developer,misconfiguration or logic issue related to database bug,review and fix the database bug according to best practices,this bug requires a frontend developer due to its nature.,2025-09-26
cloud configuration bug detected in system,this issue relates to a cloud configuration bug occurring in the application.,401.0,cloud configuration bug,web development,react,medium,staging,frontend developer,misconfiguration or logic issue related to cloud configuration bug,review and fix the cloud configuration bug according to best practices,this bug requires a frontend developer due to its nature.,2025-10-18
backend logic bug detected in system,this issue relates to a backend logic bug occurring in the application.,404.0,backend logic bug,cloud,vue,medium,staging,qa engineer,misconfiguration or logic issue related to backend logic bug,review and fix the backend logic bug according to best practices,this bug requires a qa engineer due to its nature.,2025-03-07
backend logic bug detected in system,this issue relates to a backend logic bug occurring in the application.,404.0,backend logic bug,backend systems,docker,low,staging,mobile developer,misconfiguration or logic issue related to backend logic bug,review and fix the backend logic bug according to best practices,this bug requires a mobile developer due to its nature.,2025-09-04
cloud configuration bug detected in system,this issue relates to a cloud configuration bug occurring in the application.,503.0,cloud configuration bug,cloud,vue,high,staging,devops engineer,misconfiguration or logic issue related to cloud configuration bug,review and fix the cloud configuration bug according to best practices,this bug requires a devops engineer due to its nature.,2025-07-23
deployment bug detected in system,this issue relates to a deployment bug occurring in the application.,403.0,deployment bug,data,postgresql,medium,staging,data engineer,misconfiguration or logic issue related to deployment bug,review and fix the deployment bug according to best practices,this bug requires a data engineer due to its nature.,2025-02-28
database bug detected in system,this issue relates to a database bug occurring in the application.,502.0,database bug,web development,gcp,medium,production,full-stack developer,misconfiguration or logic issue related to database bug,review and fix the database bug according to best practices,this bug requires a full-stack developer due to its nature.,2025-06-08
cloud configuration bug detected in system,this issue relates to a cloud configuration bug occurring in the application.,500.0,cloud configuration bug,backend systems,postgresql,critical,staging,mobile developer,misconfiguration or logic issue related to cloud configuration bug,review and fix the cloud configuration bug according to best practices,this bug requires a mobile developer due to its nature.,2025-10-30
authorization bug detected in system,this issue relates to a authorization bug occurring in the application.,500.0,authorization bug,backend systems,django,critical,staging,devops engineer,misconfiguration or logic issue related to authorization bug,review and fix the authorization bug according to best practices,this bug requires a devops engineer due to its nature.,2025-10-04
deployment bug detected in system,this issue relates to a deployment bug occurring in the application.,404.0,deployment bug,cloud,kubernetes,high,development,cloud engineer,misconfiguration or logic issue related to deployment bug,review and fix the deployment bug according to best practices,this bug requires a cloud engineer due to its nature.,2025-02-07
authentication bug detected in system,this issue relates to a authentication bug occurring in the application.,502.0,authentication bug,data,gcp,low,development,cloud engineer,misconfiguration or logic issue related to authentication bug,review and fix the authentication bug according to best practices,this bug requires a cloud engineer due to its nature.,2025-09-12
api bug detected in system,this issue relates to a api bug occurring in the application.,500.0,api bug,data,flask,high,staging,data engineer,misconfiguration or logic issue related to api bug,review and fix the api bug according to best practices,this bug requires a data engineer due to its nature.,2026-01-31
api bug detected in system,this issue relates to a api bug occurring in the application.,500.0,api bug,devops,django,high,development,qa engineer,misconfiguration or logic issue related to api bug,review and fix the api bug according to best practices,this bug requires a qa engineer due to its nature.,2025-02-02
concurrency bug detected in system,this issue relates to a concurrency bug occurring in the application.,502.0,concurrency bug,web development,postgresql,high,staging,devops engineer,misconfiguration or logic issue related to concurrency bug,review and fix the concurrency bug according to best practices,this bug requires a devops engineer due to its nature.,2025-06-16
memory leak detected in system,this issue relates to a memory leak occurring in the application.,404.0,memory leak,backend systems,angular,medium,development,devops engineer,misconfiguration or logic issue related to memory leak,review and fix the memory leak according to best practices,this bug requires a devops engineer due to its nature.,2025-12-29
frontend routing bug detected in system,this issue relates to a frontend routing bug occurring in the application.,403.0,frontend routing bug,mobile,react,medium,development,backend developer,misconfiguration or logic issue related to frontend routing bug,review and fix the frontend routing bug according to best practices,this bug requires a backend developer due to its nature.,2025-05-31
database bug detected in system,this issue relates to a database bug occurring in the application.,502.0,database bug,cloud,node.js,low,production,full-stack developer,misconfiguration or logic issue related to database bug,review and fix the database bug according to best practices,this bug requires a full-stack developer due to its nature.,2025-12-29
ci/cd bug detected in system,this issue relates to a ci/cd bug occurring in the application.,404.0,ci/cd bug,cloud,spring boot,medium,staging,mobile developer,misconfiguration or logic issue related to ci/cd bug,review and fix the ci/cd bug according to best practices,this bug requires a mobile developer due to its nature.,2025-08-22
deployment bug detected in system,this issue relates to a deployment bug occurring in the application.,403.0,deployment bug,data,react,medium,staging,devops engineer,misconfiguration or logic issue related to deployment bug,review and fix the deployment bug according to best practices,this bug requires a devops engineer due to its nature.,2025-04-03
authorization bug detected in system,this issue relates to a authorization bug occurring in the application.,404.0,authorization bug,backend systems,postgresql,critical,staging,cloud engineer,misconfiguration or logic issue related to authorization bug,review and fix the authorization bug according to best practices,this bug requires a cloud engineer due to its nature.,2025-09-03
security vulnerability detected in system,this issue relates to a security vulnerability occurring in the application.,403.0,security vulnerability,backend systems,mongodb,low,development,backend developer,misconfiguration or logic issue related to security vulnerability,review and fix the security vulnerability according to best practices,this bug requires a backend developer due to its nature.,2025-09-27
memory leak detected in system,this issue relates to a memory leak occurring in the application.,400.0,memory leak,mobile,django,low,development,mobile developer,misconfiguration or logic issue related to memory leak,review and fix the memory leak according to best practices,this bug requires a mobile developer due to its nature.,2025-03-15
api bug detected in system,this issue relates to a api bug occurring in the application.,500.0,api bug,mobile,mysql,low,production,full-stack developer,misconfiguration or logic issue related to api bug,review and fix the api bug according to best practices,this bug requires a full-stack developer due to its nature.,2025-11-14
concurrency bug detected in system,this issue relates to a concurrency bug occurring in the application.,403.0,concurrency bug,mobile,azure,low,production,devops engineer,misconfiguration or logic issue related to concurrency bug,review and fix the concurrency bug according to best practices,this bug requires a devops engineer due to its nature.,2025-02-18
ui bug detected in system,this issue relates to a ui bug occurring in the application.,503.0,ui bug,devops,mysql,high,production,devops engineer,misconfiguration or logic issue related to ui bug,review and fix the ui bug according to best practices,this bug requires a devops engineer due to its nature.,2025-02-10
frontend routing bug detected in system,this issue relates to a frontend routing bug occurring in the application.,500.0,frontend routing bug,devops,mysql,high,production,mobile developer,misconfiguration or logic issue related to frontend routing bug,review and fix the frontend routing bug according to best practices,this bug requires a mobile developer due to its nature.,2025-07-29
ui bug detected in system,this issue relates to a ui bug occurring in the application.,502.0,ui bug,devops,gcp,high,production,backend developer,misconfiguration or logic issue related to ui bug,review and fix the ui bug according to best practices,this bug requires a backend developer due to its nature.,2025-07-17
cloud configuration bug detected in system,this issue relates to a cloud configuration bug occurring in the application.,403.0,cloud configuration bug,data,laravel,medium,development,mobile developer,misconfiguration or logic issue related to cloud configuration bug,review and fix the cloud configuration bug according to best practices,this bug requires a mobile developer due to its nature.,2025-07-15
ui bug detected in system,this issue relates to a ui bug occurring in the application.,401.0,ui bug,data,aws,medium,development,security engineer,misconfiguration or logic issue related to ui bug,review and fix the ui bug according to best practices,this bug requires a security engineer due to its nature.,2025-04-07
performance bug detected in system,this issue relates to a performance bug occurring in the application.,404.0,performance bug,devops,node.js,medium,staging,frontend developer,misconfiguration or logic issue related to performance bug,review and fix the performance bug according to best practices,this bug requires a frontend developer due to its nature.,2025-03-06
concurrency bug detected in system,this issue relates to a concurrency bug occurring in the application.,401.0,concurrency bug,mobile,azure,medium,staging,full-stack developer,misconfiguration or logic issue related to concurrency bug,review and fix the concurrency bug according to best practices,this bug requires a full-stack developer due to its nature.,2025-06-05
performance bug detected in system,this issue relates to a performance bug occurring in the application.,403.0,performance bug,devops,postgresql,high,staging,data engineer,misconfiguration or logic issue related to performance bug,review and fix the performance bug according to best practices,this bug requires a data engineer due to its nature.,2025-11-04
deployment bug detected in system,this issue relates to a deployment bug occurring in the application.,401.0,deployment bug,web development,react,high,production,devops engineer,misconfiguration or logic issue related to deployment bug,review and fix the deployment bug according to best practices,this bug requires a devops engineer due to its nature.,2025-09-08
deployment bug detected in system,this issue relates to a deployment bug occurring in the application.,400.0,deployment bug,backend systems,flask,low,production,mobile developer,misconfiguration or logic issue related to deployment bug,review and fix the deployment bug according to best practices,this bug requires a mobile developer due to its nature.,2025-07-08
cloud configuration bug detected in system,this issue relates to a cloud configuration bug occurring in the application.,502.0,cloud configuration bug,data,angular,low,production,full-stack developer,misconfiguration or logic issue related to cloud configuration bug,review and fix the cloud configuration bug according to best practices,this bug requires a full-stack developer due to its nature.,2025-08-12
authorization bug detected in system,this issue relates to a authorization bug occurring in the application.,500.0,authorization bug,backend systems,mongodb,low,production,backend developer,misconfiguration or logic issue related to authorization bug,review and fix the authorization bug according to best practices,this bug requires a backend developer due to its nature.,2025-12-09
performance bug detected in system,this issue relates to a performance bug occurring in the application.,400.0,performance bug,backend systems,kubernetes,high,staging,cloud engineer,misconfiguration or logic issue related to performance bug,review and fix the performance bug according to best practices,this bug requires a cloud engineer due to its nature.,2025-02-25
concurrency bug detected in system,this issue relates to a concurrency bug occurring in the application.,502.0,concurrency bug,mobile,docker,medium,staging,data engineer,misconfiguration or logic issue related to concurrency bug,review and fix the concurrency bug according to best practices,this bug requires a data engineer due to its nature.,2025-04-29
deployment bug detected in system,this issue relates to a deployment bug occurring in the application.,500.0,deployment bug,mobile,aws,critical,development,frontend developer,misconfiguration or logic issue related to deployment bug,review and fix the deployment bug according to best practices,this bug requires a frontend developer due to its nature.,2025-07-29
ci/cd bug detected in system,this issue relates to a ci/cd bug occurring in the application.,503.0,ci/cd bug,data,mysql,medium,production,cloud engineer,misconfiguration or logic issue related to ci/cd bug,review and fix the ci/cd bug according to best practices,this bug requires a cloud engineer due to its nature.,2025-11-20
api bug detected in system,this issue relates to a api bug occurring in the application.,401.0,api bug,web development,gcp,low,production,full-stack developer,misconfiguration or logic issue related to api bug,review and fix the api bug according to best practices,this bug requires a full-stack developer due to its nature.,2025-03-18
monitoring bug detected in system,this issue relates to a monitoring bug occurring in the application.,503.0,monitoring bug,cloud,node.js,critical,production,qa engineer,misconfiguration or logic issue related to monitoring bug,review and fix the monitoring bug according to best practices,this bug requires a qa engineer due to its nature.,2026-01-12
authorization bug detected in system,this issue relates to a authorization bug occurring in the application.,401.0,authorization bug,backend systems,react,high,development,devops engineer,misconfiguration or logic issue related to authorization bug,review and fix the authorization bug according to best practices,this bug requires a devops engineer due to its nature.,2025-03-25
api bug detected in system,this issue relates to a api bug occurring in the application.,400.0,api bug,data,flask,low,production,frontend developer,misconfiguration or logic issue related to api bug,review and fix the api bug according to best practices,this bug requires a frontend developer due to its nature.,2025-08-23
monitoring bug detected in system,this issue relates to a monitoring bug occurring in the application.,404.0,monitoring bug,backend systems,vue,high,staging,frontend developer,misconfiguration or logic issue related to monitoring bug,review and fix the monitoring bug according to best practices,this bug requires a frontend developer due to its nature.,2025-03-13
monitoring bug detected in system,this issue relates to a monitoring bug occurring in the application.,503.0,monitoring bug,mobile,mongodb,low,staging,frontend developer,misconfiguration or logic issue related to monitoring bug,review and fix the monitoring bug according to best practices,this bug requires a frontend developer due to its nature.,2025-09-03
authentication bug detected in system,this issue relates to a authentication bug occurring in the application.,400.0,authentication bug,backend systems,mongodb,low,staging,mobile developer,misconfiguration or logic issue related to authentication bug,review and fix the authentication bug according to best practices,this bug requires a mobile developer due to its nature.,2025-09-26
backend logic bug detected in system,this issue relates to a backend logic bug occurring in the application.,502.0,backend logic bug,data,docker,critical,development,devops engineer,misconfiguration or logic issue related to backend logic bug,review and fix the backend logic bug according to best practices,this bug requires a devops engineer due to its nature.,2025-08-30
monitoring bug detected in system,this issue relates to a monitoring bug occurring in the application.,503.0,monitoring bug,devops,mongodb,high,development,frontend developer,misconfiguration or logic issue related to monitoring bug,review and fix the monitoring bug according to best practices,this bug requires a frontend developer due to its nature.,2026-01-09
ci/cd bug detected in system,this issue relates to a ci/cd bug occurring in the application.,403.0,ci/cd bug,cloud,docker,high,production,data engineer,misconfiguration or logic issue related to ci/cd bug,review and fix the ci/cd bug according to best practices,this bug requires a data engineer due to its nature.,2025-03-23
frontend routing bug detected in system,this issue relates to a frontend routing bug occurring in the application.,404.0,frontend routing bug,devops,flask,critical,staging,security engineer,misconfiguration or logic issue related to frontend routing bug,review and fix the frontend routing bug according to best practices,this bug requires a security engineer due to its nature.,2025-06-26
concurrency bug detected in system,this issue relates to a concurrency bug occurring in the application.,400.0,concurrency bug,data,laravel,medium,development,mobile developer,misconfiguration or logic issue related to concurrency bug,review and fix the concurrency bug according to best practices,this bug requires a mobile developer due to its nature.,2025-05-11
logging bug detected in system,this issue relates to a logging bug occurring in the application.,404.0,logging bug,data,postgresql,critical,staging,full-stack developer,misconfiguration or logic issue related to logging bug,review and fix the logging bug according to best practices,this bug requires a full-stack developer due to its nature.,2025-11-30
backend logic bug detected in system,this issue relates to a backend logic bug occurring in the application.,503.0,backend logic bug,mobile,django,critical,staging,security engineer,misconfiguration or logic issue related to backend logic bug,review and fix the backend logic bug according to best practices,this bug requires a security engineer due to its nature.,2025-03-26
ui bug detected in system,this issue relates to a ui bug occurring in the application.,404.0,ui bug,data,vue,medium,production,data engineer,misconfiguration or logic issue related to ui bug,review and fix the ui bug according to best practices,this bug requires a data engineer due to its nature.,2025-07-27
logging bug detected in system,this issue relates to a logging bug occurring in the application.,403.0,logging bug,web development,angular,high,staging,mobile developer,misconfiguration or logic issue related to logging bug,review and fix the logging bug according to best practices,this bug requires a mobile developer due to its nature.,2026-01-24
cloud configuration bug detected in system,this issue relates to a cloud configuration bug occurring in the application.,400.0,cloud configuration bug,data,django,critical,staging,backend developer,misconfiguration or logic issue related to cloud configuration bug,review and fix the cloud configuration bug according to best practices,this bug requires a backend developer due to its nature.,2025-04-28
ui bug detected in system,this issue relates to a ui bug occurring in the application.,503.0,ui bug,devops,gcp,high,staging,frontend developer,misconfiguration or logic issue related to ui bug,review and fix the ui bug according to best practices,this bug requires a frontend developer due to its nature.,2025-02-03
monitoring bug detected in system,this issue relates to a monitoring bug occurring in the application.,404.0,monitoring bug,data,flask,low,development,data engineer,misconfiguration or logic issue related to monitoring bug,review and fix the monitoring bug according to best practices,this bug requires a data engineer due to its nature.,2025-08-05
performance bug detected in system,this issue relates to a performance bug occurring in the application.,503.0,performance bug,mobile,gcp,medium,staging,full-stack developer,misconfiguration or logic issue related to performance bug,review and fix the performance bug according to best practices,this bug requires a full-stack developer due to its nature.,2025-04-21
authentication bug detected in system,this issue relates to a authentication bug occurring in the application.,401.0,authentication bug,web development,spring boot,critical,staging,data engineer,misconfiguration or logic issue related to authentication bug,review and fix the authentication bug according to best practices,this bug requires a data engineer due to its nature.,2025-05-09
api bug detected in system,this issue relates to a api bug occurring in the application.,500.0,api bug,mobile,gcp,critical,development,qa engineer,misconfiguration or logic issue related to api bug,review and fix the api bug according to best practices,this bug requires a qa engineer due to its nature.,2025-09-22
memory leak detected in system,this issue relates to a memory leak occurring in the application.,404.0,memory leak,data,react,low,staging,data engineer,misconfiguration or logic issue related to memory leak,review and fix the memory leak according to best practices,this bug requires a data engineer due to its nature.,2025-12-01
memory leak detected in system,this issue relates to a memory leak occurring in the application.,502.0,memory leak,mobile,flask,high,staging,backend developer,misconfiguration or logic issue related to memory leak,review and fix the memory leak according to best practices,this bug requires a backend developer due to its nature.,2025-09-28
ci/cd bug detected in system,this issue relates to a ci/cd bug occurring in the application.,404.0,ci/cd bug,web development,node.js,medium,development,backend developer,misconfiguration or logic issue related to ci/cd bug,review and fix the ci/cd bug according to best practices,this bug requires a backend developer due to its nature.,2025-11-22
monitoring bug detected in system,this issue relates to a monitoring bug occurring in the application.,502.0,monitoring bug,cloud,vue,high,production,devops engineer,misconfiguration or logic issue related to monitoring bug,review and fix the monitoring bug according to best practices,this bug requires a devops engineer due to its nature.,2025-06-03
frontend routing bug detected in system,this issue relates to a frontend routing bug occurring in the application.,502.0,frontend routing bug,mobile,azure,high,development,security engineer,misconfiguration or logic issue related to frontend routing bug,review and fix the frontend routing bug according to best practices,this bug requires a security engineer due to its nature.,2026-01-25
ui bug detected in system,this issue relates to a ui bug occurring in the application.,502.0,ui bug,cloud,react,low,production,cloud engineer,misconfiguration or logic issue related to ui bug,review and fix the ui bug according to best practices,this bug requires a cloud engineer due to its nature.,2025-11-17
authorization bug detected in system,this issue relates to a authorization bug occurring in the application.,401.0,authorization bug,mobile,postgresql,high,staging,backend developer,misconfiguration or logic issue related to authorization bug,review and fix the authorization bug according to best practices,this bug requires a backend developer due to its nature.,2025-12-18
concurrency bug detected in system,this issue relates to a concurrency bug occurring in the application.,404.0,concurrency bug,web development,docker,critical,development,qa engineer,misconfiguration or logic issue related to concurrency bug,review and fix the concurrency bug according to best practices,this bug requires a qa engineer due to its nature.,2025-12-10
database bug detected in system,this issue relates to a database bug occurring in the application.,400.0,database bug,backend systems,vue,high,development,devops engineer,misconfiguration or logic issue related to database bug,review and fix the database bug according to best practices,this bug requires a devops engineer due to its nature.,2025-09-21
deployment bug detected in system,this issue relates to a deployment bug occurring in the application.,503.0,deployment bug,web development,node.js,high,production,security engineer,misconfiguration or logic issue related to deployment bug,review and fix the deployment bug according to best practices,this bug requires a security engineer due to its nature.,2025-12-15
database bug detected in system,this issue relates to a database bug occurring in the application.,404.0,database bug,cloud,docker,medium,development,qa engineer,misconfiguration or logic issue related to database bug,review and fix the database bug according to best practices,this bug requires a qa engineer due to its nature.,2025-09-09
authorization bug detected in system,this issue relates to a authorization bug occurring in the application.,404.0,authorization bug,backend systems,kubernetes,high,production,backend developer,misconfiguration or logic issue related to authorization bug,review and fix the authorization bug according to best practices,this bug requires a backend developer due to its nature.,2025-08-03
monitoring bug detected in system,this issue relates to a monitoring bug occurring in the application.,500.0,monitoring bug,mobile,laravel,high,production,mobile developer,misconfiguration or logic issue related to monitoring bug,review and fix the monitoring bug according to best practices,this bug requires a mobile developer due to its nature.,2025-07-31
authorization bug detected in system,this issue relates to a authorization bug occurring in the application.,403.0,authorization bug,backend systems,node.js,medium,staging,data engineer,misconfiguration or logic issue related to authorization bug,review and fix the authorization bug according to best practices,this bug requires a data engineer due to its nature.,2025-12-08
concurrency bug detected in system,this issue relates to a concurrency bug occurring in the application.,400.0,concurrency bug,web development,gcp,low,production,mobile developer,misconfiguration or logic issue related to concurrency bug,review and fix the concurrency bug according to best practices,this bug requires a mobile developer due to its nature.,2025-08-27
monitoring bug detected in system,this issue relates to a monitoring bug occurring in the application.,401.0,monitoring bug,web development,kubernetes,medium,development,data engineer,misconfiguration or logic issue related to monitoring bug,review and fix the monitoring bug according to best practices,this bug requires a data engineer due to its nature.,2025-06-26
deployment bug detected in system,this issue relates to a deployment bug occurring in the application.,500.0,deployment bug,backend systems,docker,medium,staging,security engineer,misconfiguration or logic issue related to deployment bug,review and fix the deployment bug according to best practices,this bug requires a security engineer due to its nature.,2025-10-04
backend logic bug detected in system,this issue relates to a backend logic bug occurring in the application.,502.0,backend logic bug,mobile,spring boot,low,staging,full-stack developer,misconfiguration or logic issue related to backend logic bug,review and fix the backend logic bug according to best practices,this bug requires a full-stack developer due to its nature.,2025-10-11
authorization bug detected in system,this issue relates to a authorization bug occurring in the application.,503.0,authorization bug,web development,react,high,staging,devops engineer,misconfiguration or logic issue related to authorization bug,review and fix the authorization bug according to best practices,this bug requires a devops engineer due to its nature.,2025-04-07
logging bug detected in system,this issue relates to a logging bug occurring in the application.,403.0,logging bug,backend systems,node.js,medium,production,mobile developer,misconfiguration or logic issue related to logging bug,review and fix the logging bug according to best practices,this bug requires a mobile developer due to its nature.,2025-02-21
deployment bug detected in system,this issue relates to a deployment bug occurring in the application.,502.0,deployment bug,data,flask,high,development,full-stack developer,misconfiguration or logic issue related to deployment bug,review and fix the deployment bug according to best practices,this bug requires a full-stack developer due to its nature.,2025-04-16
authentication bug detected in system,this issue relates to a authentication bug occurring in the application.,500.0,authentication bug,data,kubernetes,critical,staging,cloud engineer,misconfiguration or logic issue related to authentication bug,review and fix the authentication bug according to best practices,this bug requires a cloud engineer due to its nature.,2025-03-08
performance bug detected in system,this issue relates to a performance bug occurring in the application.,500.0,performance bug,backend systems,gcp,medium,development,devops engineer,misconfiguration or logic issue related to performance bug,review and fix the performance bug according to best practices,this bug requires a devops engineer due to its nature.,2025-05-05
logging bug detected in system,this issue relates to a logging bug occurring in the application.,403.0,logging bug,web development,azure,high,development,backend developer,misconfiguration or logic issue related to logging bug,review and fix the logging bug according to best practices,this bug requires a backend developer due to its nature.,2025-05-03
cloud configuration bug detected in system,this issue relates to a cloud configuration bug occurring in the application.,503.0,cloud configuration bug,mobile,mysql,high,staging,full-stack developer,misconfiguration or logic issue related to cloud configuration bug,review and fix the cloud configuration bug according to best practices,this bug requires a full-stack developer due to its nature.,2025-06-03
performance bug detected in system,this issue relates to a performance bug occurring in the application.,503.0,performance bug,cloud,kubernetes,low,development,devops engineer,misconfiguration or logic issue related to performance bug,review and fix the performance bug according to best practices,this bug requires a devops engineer due to its nature.,2025-03-20
database bug detected in system,this issue relates to a database bug occurring in the application.,503.0,database bug,devops,mysql,low,development,full-stack developer,misconfiguration or logic issue related to database bug,review and fix the database bug according to best practices,this bug requires a full-stack developer due to its nature.,2025-12-21
authentication bug detected in system,this issue relates to a authentication bug occurring in the application.,401.0,authentication bug,mobile,node.js,critical,production,frontend developer,misconfiguration or logic issue related to authentication bug,review and fix the authentication bug according to best practices,this bug requires a frontend developer due to its nature.,2025-07-20
security vulnerability detected in system,this issue relates to a security vulnerability occurring in the application.,401.0,security vulnerability,devops,spring boot,medium,staging,mobile developer,misconfiguration or logic issue related to security vulnerability,review and fix the security vulnerability according to best practices,this bug requires a mobile developer due to its nature.,2025-05-22
backend logic bug detected in system,this issue relates to a backend logic bug occurring in the application.,400.0,backend logic bug,cloud,docker,critical,production,full-stack developer,misconfiguration or logic issue related to backend logic bug,review and fix the backend logic bug according to best practices,this bug requires a full-stack developer due to its nature.,2025-02-12
ci/cd bug detected in system,this issue relates to a ci/cd bug occurring in the application.,400.0,ci/cd bug,data,spring boot,medium,production,frontend developer,misconfiguration or logic issue related to ci/cd bug,review and fix the ci/cd bug according to best practices,this bug requires a frontend developer due to its nature.,2025-10-21
authorization bug detected in system,this issue relates to a authorization bug occurring in the application.,502.0,authorization bug,cloud,laravel,medium,staging,data engineer,misconfiguration or logic issue related to authorization bug,review and fix the authorization bug according to best practices,this bug requires a data engineer due to its nature.,2025-03-09
ci/cd bug detected in system,this issue relates to a ci/cd bug occurring in the application.,500.0,ci/cd bug,data,mysql,medium,staging,mobile developer,misconfiguration or logic issue related to ci/cd bug,review and fix the ci/cd bug according to best practices,this bug requires a mobile developer due to its nature.,2025-04-09
ui bug detected in system,this issue relates to a ui bug occurring in the application.,404.0,ui bug,cloud,vue,critical,production,frontend developer,misconfiguration or logic issue related to ui bug,review and fix the ui bug according to best practices,this bug requires a frontend developer due to its nature.,2025-07-08
monitoring bug detected in system,this issue relates to a monitoring bug occurring in the application.,503.0,monitoring bug,mobile,azure,high,production,full-stack developer,misconfiguration or logic issue related to monitoring bug,review and fix the monitoring bug according to best practices,this bug requires a full-stack developer due to its nature.,2025-07-09
ui bug detected in system,this issue relates to a ui bug occurring in the application.,404.0,ui bug,cloud,kubernetes,critical,development,qa engineer,misconfiguration or logic issue related to ui bug,review and fix the ui bug according to best practices,this bug requires a qa engineer due to its nature.,2025-12-01
api bug detected in system,this issue relates to a api bug occurring in the application.,502.0,api bug,mobile,laravel,medium,development,full-stack developer,misconfiguration or logic issue related to api bug,review and fix the api bug according to best practices,this bug requires a full-stack developer due to its nature.,2025-05-06
security vulnerability detected in system,this issue relates to a security vulnerability occurring in the application.,500.0,security vulnerability,devops,spring boot,high,production,mobile developer,misconfiguration or logic issue related to security vulnerability,review and fix the security vulnerability according to best practices,this bug requires a mobile developer due to its nature.,2025-11-20
performance bug detected in system,this issue relates to a performance bug occurring in the application.,500.0,performance bug,data,vue,high,development,qa engineer,misconfiguration or logic issue related to performance bug,review and fix the performance bug according to best practices,this bug requires a qa engineer due to its nature.,2025-03-01
performance bug detected in system,this issue relates to a performance bug occurring in the application.,503.0,performance bug,mobile,postgresql,critical,staging,devops engineer,misconfiguration or logic issue related to performance bug,review and fix the performance bug according to best practices,this bug requires a devops engineer due to its nature.,2025-08-14
database bug detected in system,this issue relates to a database bug occurring in the application.,403.0,database bug,cloud,docker,low,staging,full-stack developer,misconfiguration or logic issue related to database bug,review and fix the database bug according to best practices,this bug requires a full-stack developer due to its nature.,2025-09-24
concurrency bug detected in system,this issue relates to a concurrency bug occurring in the application.,401.0,concurrency bug,web development,mongodb,high,production,backend developer,misconfiguration or logic issue related to concurrency bug,review and fix the concurrency bug according to best practices,this bug requires a backend developer due to its nature.,2025-04-09
performance bug detected in system,this issue relates to a performance bug occurring in the application.,401.0,performance bug,data,spring boot,medium,development,backend developer,misconfiguration or logic issue related to performance bug,review and fix the performance bug according to best practices,this bug requires a backend developer due to its nature.,2025-02-26
